epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,28560.5,0.59515,0.7138,0.95413,0.88729,0.8675,0.89356,0.75924,0.64949,0.47974,0.89965,0.000218763,0.000218763,0.000218763
61,29038.9,0.58684,0.70113,0.95147,0.94105,0.84875,0.91306,0.7752,0.64123,0.45752,0.89207,0.000213556,0.000213556,0.000213556
62,29517,0.59579,0.71314,0.94659,0.90504,0.83648,0.87462,0.74924,0.64094,0.57704,0.89369,0.000208349,0.000208349,0.000208349
63,29992.5,0.59992,0.7217,0.95174,0.92307,0.8509,0.91036,0.78115,0.62913,0.47709,0.88863,0.000203141,0.000203141,0.000203141
64,30485.8,0.59687,0.71663,0.95149,0.93293,0.83824,0.90592,0.77144,0.64232,0.51033,0.89382,0.000197934,0.000197934,0.000197934
65,30968.5,0.57241,0.67747,0.94388,0.89231,0.86137,0.89545,0.76088,0.63821,0.50082,0.88943,0.000192726,0.000192726,0.000192726
66,31446.8,0.59415,0.69382,0.95105,0.92915,0.8419,0.91023,0.77558,0.63463,0.49526,0.88902,0.000187519,0.000187519,0.000187519
67,31924.2,0.58224,0.67946,0.94381,0.89215,0.87133,0.91372,0.78171,0.6261,0.4603,0.88885,0.000182312,0.000182312,0.000182312
68,32403.5,0.57882,0.67008,0.94875,0.90065,0.85669,0.92294,0.79057,0.62247,0.48584,0.88219,0.000177104,0.000177104,0.000177104
69,32881.6,0.59713,0.69247,0.94669,0.91644,0.86401,0.92078,0.79171,0.62512,0.46469,0.8815,0.000171897,0.000171897,0.000171897
70,33361.1,0.58089,0.67387,0.94732,0.92331,0.85493,0.91352,0.78004,0.63115,0.48866,0.88793,0.000166689,0.000166689,0.000166689
71,33838.9,0.57647,0.66487,0.94486,0.93694,0.86682,0.92901,0.79804,0.6184,0.4208,0.87859,0.000161482,0.000161482,0.000161482
72,34321,0.58244,0.66666,0.94542,0.92512,0.87363,0.92377,0.79085,0.62155,0.43378,0.88029,0.000156275,0.000156275,0.000156275
73,34806.5,0.58893,0.66143,0.9421,0.93386,0.86752,0.92375,0.78941,0.61659,0.46155,0.88115,0.000151067,0.000151067,0.000151067
74,35291.8,0.584,0.66451,0.94156,0.91778,0.89563,0.93668,0.80403,0.62106,0.41781,0.88384,0.00014586,0.00014586,0.00014586
75,35781.6,0.57525,0.65602,0.94103,0.92511,0.89888,0.93615,0.80565,0.62762,0.40771,0.88902,0.000140652,0.000140652,0.000140652
76,36268,0.57502,0.65392,0.94508,0.93961,0.8836,0.9355,0.80431,0.62063,0.4102,0.88394,0.000135445,0.000135445,0.000135445
77,36755.7,0.56015,0.6317,0.93216,0.91129,0.88289,0.93506,0.80879,0.61042,0.41334,0.87891,0.000130238,0.000130238,0.000130238
78,37244.5,0.56157,0.65382,0.93991,0.93617,0.87869,0.93143,0.80335,0.62131,0.41659,0.88257,0.00012503,0.00012503,0.00012503
79,37731.7,0.55818,0.62955,0.93961,0.95203,0.87831,0.93786,0.80966,0.60524,0.39372,0.87605,0.000119823,0.000119823,0.000119823
80,38221.5,0.56019,0.62971,0.93553,0.92506,0.87774,0.92642,0.7939,0.61747,0.41237,0.88326,0.000114615,0.000114615,0.000114615
81,38712.8,0.55561,0.64476,0.93488,0.95628,0.87039,0.9402,0.81215,0.60192,0.37331,0.87328,0.000109408,0.000109408,0.000109408
82,39199.9,0.55635,0.63308,0.93162,0.94577,0.88903,0.93775,0.80399,0.61647,0.39522,0.87909,0.000104201,0.000104201,0.000104201
83,39686.2,0.56683,0.6321,0.938,0.94611,0.88398,0.93827,0.80424,0.61789,0.41194,0.87726,9.89932e-05,9.89932e-05,9.89932e-05
84,40172.5,0.57213,0.66104,0.94133,0.93103,0.89887,0.9379,0.80969,0.60537,0.38636,0.8733,9.37858e-05,9.37858e-05,9.37858e-05
85,40661.8,0.54815,0.61402,0.936,0.95519,0.88791,0.94591,0.81165,0.60345,0.36958,0.87457,8.85784e-05,8.85784e-05,8.85784e-05
86,41146.9,0.5552,0.62185,0.9355,0.95743,0.8857,0.94153,0.81231,0.60163,0.37267,0.87506,8.3371e-05,8.3371e-05,8.3371e-05
87,41632.1,0.55703,0.63218,0.94092,0.9449,0.88774,0.9396,0.81209,0.60507,0.38199,0.87447,7.81636e-05,7.81636e-05,7.81636e-05
88,42118.6,0.55311,0.63407,0.93782,0.94619,0.88755,0.94475,0.81152,0.60554,0.38218,0.87509,7.29562e-05,7.29562e-05,7.29562e-05
89,42603.3,0.5518,0.61094,0.93734,0.95035,0.88255,0.94475,0.81641,0.60498,0.37739,0.87402,6.77488e-05,6.77488e-05,6.77488e-05
90,43089.3,0.54201,0.60013,0.92889,0.94728,0.88018,0.94231,0.81573,0.60459,0.3761,0.8747,6.25414e-05,6.25414e-05,6.25414e-05
91,43575.8,0.54418,0.37618,0.87187,0.91331,0.89275,0.93194,0.79784,0.60553,0.39701,0.87679,5.7334e-05,5.7334e-05,5.7334e-05
92,44062.8,0.53645,0.3693,0.87607,0.91245,0.89292,0.92135,0.79369,0.60784,0.39509,0.87695,5.21266e-05,5.21266e-05,5.21266e-05
93,44549.1,0.52895,0.35014,0.87168,0.9324,0.88929,0.92851,0.79881,0.60175,0.38415,0.87434,4.69192e-05,4.69192e-05,4.69192e-05
94,45036.9,0.54126,0.36605,0.87313,0.91524,0.89417,0.92397,0.79457,0.59618,0.39169,0.87112,4.17118e-05,4.17118e-05,4.17118e-05
95,45524.6,0.53416,0.34891,0.86961,0.92893,0.88543,0.9244,0.79882,0.59964,0.38898,0.87294,3.65044e-05,3.65044e-05,3.65044e-05
96,46013,0.52748,0.34715,0.87057,0.92513,0.88553,0.92706,0.79987,0.59854,0.3851,0.87301,3.1297e-05,3.1297e-05,3.1297e-05
97,46502.3,0.52735,0.35305,0.87223,0.94751,0.8721,0.93613,0.80348,0.59895,0.37551,0.87315,2.60896e-05,2.60896e-05,2.60896e-05
98,46987.8,0.53336,0.35392,0.87712,0.92786,0.89428,0.93494,0.80266,0.59886,0.37904,0.87334,2.08822e-05,2.08822e-05,2.08822e-05
99,47473.6,0.52204,0.34618,0.87046,0.92519,0.88299,0.93162,0.80208,0.59631,0.37874,0.87254,1.56748e-05,1.56748e-05,1.56748e-05
100,47960.5,0.52398,0.34224,0.87397,0.93087,0.88232,0.93118,0.80104,0.59592,0.37744,0.87246,1.04674e-05,1.04674e-05,1.04674e-05
